TT_LOT_NO,SCHEDULE,DUE_HOUR,RECIPENAME,PROD_TIME,
LOT_A,LOT_A0002,240,REC0001,2.85,9975.45
LOT_A,LOT_A0009,240,REC0001,2.85,
LOT_A,LOT_A0010,240,REC0001,2.85,
LOT_A,LOT_A0012,240,REC0001,2.85,
LOT_A,LOT_A0013,240,REC0001,2.85,
LOT_A,LOT_A0015,240,REC0001,2.85,
LOT_A,LOT_A0018,240,REC0001,2.85,
LOT_A,LOT_A0020,240,REC0001,2.85,
LOT_A,LOT_A0022,240,REC0001,2.85,
LOT_A,LOT_A0024,240,REC0001,2.85,
LOT_A,LOT_A0028,240,REC0001,2.85,
LOT_A,LOT_A0031,240,REC0001,2.85,
LOT_A,LOT_A0032,240,REC0001,2.85,
LOT_AA,LOT_AA0002,120,REC0010,4.4,
LOT_AA,LOT_AA0004,120,REC0010,4.4,
LOT_AA,LOT_AA0005,120,REC0010,4.4,
LOT_AA,LOT_AA0009,120,REC0010,4.4,
LOT_AA,LOT_AA0017,120,REC0010,4.4,
LOT_AA,LOT_AA0020,120,REC0010,4.5,
LOT_AA,LOT_AA0025,120,REC0010,4.5,
LOT_AA,LOT_AA0026,120,REC0010,4.5,
LOT_AA,LOT_AA0027,120,REC0010,4.5,
LOT_AA,LOT_AA0029,120,REC0010,4.5,
LOT_AA,LOT_AA0034,120,REC0010,4.5,
LOT_AA,LOT_AA0036,120,REC0010,4.5,
LOT_AB,LOT_AB0001,48,REC0010,4.1,
LOT_AB,LOT_AB0003,48,REC0010,4.1,
LOT_AB,LOT_AB0009,48,REC0010,4.1,
LOT_AB,LOT_AB0010,48,REC0010,4.1,
LOT_AB,LOT_AB0016,48,REC0010,4.1,
LOT_AC,LOT_AC0001,72,REC0010,4.15,
LOT_AC,LOT_AC0003,72,REC0010,4.15,
LOT_AC,LOT_AC0012,72,REC0010,4.15,
LOT_AC,LOT_AC0013,72,REC0010,4.15,
LOT_AC,LOT_AC0019,72,REC0010,4.15,
LOT_AD,LOT_AD0004,96,REC0010,4.5,
LOT_AD,LOT_AD0007,96,REC0010,4.5,
LOT_AD,LOT_AD0010,96,REC0010,4.5,
LOT_AD,LOT_AD0011,96,REC0010,4.5,
LOT_AD,LOT_AD0015,96,REC0010,4.5,
LOT_AD,LOT_AD0019,96,REC0010,4.5,
LOT_AD,LOT_AD0021,96,REC0010,4.5,
LOT_AD,LOT_AD0024,96,REC0010,4.5,
LOT_AD,LOT_AD0033,96,REC0010,4.5,
LOT_AD,LOT_AD0034,96,REC0010,4.5,
LOT_AD,LOT_AD0035,96,REC0010,4.5,
LOT_AD,LOT_AD0039,96,REC0010,4.5,
LOT_AD,LOT_AD0041,96,REC0010,4.5,
LOT_AD,LOT_AD0043,96,REC0010,4.5,
LOT_AD,LOT_AD0044,96,REC0010,4.5,
LOT_AD,LOT_AD0046,96,REC0010,4.5,
LOT_AD,LOT_AD0049,96,REC0010,4.5,
LOT_AD,LOT_AD0050,96,REC0010,4.5,
LOT_AD,LOT_AD0060,96,REC0010,4.5,
LOT_AD,LOT_AD0062,96,REC0010,4.5,
LOT_AD,LOT_AD0064,96,REC0010,4.5,
LOT_AE,LOT_AE0002,24,REC0011,4.6,
LOT_AE,LOT_AE0004,24,REC0011,4.6,
LOT_AE,LOT_AE0005,24,REC0011,4.6,
LOT_AE,LOT_AE0012,24,REC0011,4.6,
LOT_AE,LOT_AE0013,24,REC0011,4.6,
LOT_AE,LOT_AE0014,24,REC0011,4.6,
LOT_AE,LOT_AE0016,24,REC0011,4.6,
LOT_AE,LOT_AE0018,24,REC0011,4.6,
LOT_AE,LOT_AE0019,24,REC0011,4.6,
LOT_AE,LOT_AE0020,24,REC0011,4.6,
LOT_AE,LOT_AE0021,24,REC0011,4.6,
LOT_AE,LOT_AE0024,24,REC0011,4.6,
LOT_AE,LOT_AE0027,24,REC0011,4.6,
LOT_AE,LOT_AE0034,24,REC0011,4.6,
LOT_AE,LOT_AE0036,24,REC0011,4.6,
LOT_AE,LOT_AE0038,24,REC0011,4.6,
LOT_AF,LOT_AF0001,72,REC0011,12,
LOT_AF,LOT_AF0002,72,REC0011,12,
LOT_AF,LOT_AF0008,72,REC0011,12,
LOT_AF,LOT_AF0009,72,REC0011,12,
LOT_AF,LOT_AF0011,72,REC0011,12,
LOT_AG,LOT_AG0001,96,REC0012,4.45,
LOT_AG,LOT_AG0006,96,REC0012,4.45,
LOT_AG,LOT_AG0018,96,REC0012,4.45,
LOT_AG,LOT_AG0020,96,REC0012,4.45,
LOT_AG,LOT_AG0022,96,REC0012,4.45,
LOT_AG,LOT_AG0026,96,REC0012,4.45,
LOT_AG,LOT_AG0027,96,REC0012,4.45,
LOT_AG,LOT_AG0028,96,REC0012,4.45,
LOT_AG,LOT_AG0031,96,REC0012,4.45,
LOT_AG,LOT_AG0032,96,REC0012,4.45,
LOT_AG,LOT_AG0035,96,REC0012,4.45,
LOT_AG,LOT_AG0038,96,REC0012,4.45,
LOT_AH,LOT_AH0005,96,REC0012,4.55,
LOT_AH,LOT_AH0010,96,REC0012,4.55,
LOT_AH,LOT_AH0012,96,REC0012,4.55,
LOT_AH,LOT_AH0016,96,REC0012,4.55,
LOT_AH,LOT_AH0018,96,REC0012,4.55,
LOT_AH,LOT_AH0019,96,REC0012,4.55,
LOT_AH,LOT_AH0022,96,REC0012,4.55,
LOT_AH,LOT_AH0028,96,REC0012,4.55,
